ID,Label,Con_Name
1,eta UMa,CON Ahtna 001
2,zet01 UMa,CON Ahtna 001
3,eps UMa,CON Ahtna 001
4,del UMa,CON Ahtna 001
5,alf UMa,CON Ahtna 001
6,bet UMa,CON Ahtna 001
7,gam UMa,CON Ahtna 001
8,lam Dra,CON Ahtna 001
9,kap Dra,CON Ahtna 001
10,bet UMi,CON Ahtna 001
11,gam UMi,CON Ahtna 001
12,zet Dra,CON Ahtna 001
13,bet Dra,CON Ahtna 001
14,gam Dra,CON Ahtna 001
15,psi UMa,CON Ahtna 001
16,nu. UMa,CON Ahtna 001
17,ksi UMa,CON Ahtna 001
18,bet Leo,CON Ahtna 001
19,tet Leo,CON Ahtna 001
20,del Leo,CON Ahtna 001
21,eps Cas,CON Ahtna 001
22,V BE Cam,CON Ahtna 001
23,alf Cam,CON Ahtna 001
24,bet Cam,CON Ahtna 001
25,2 Lyn,CON Ahtna 001
26,del Aur,CON Ahtna 001
27,del Cas,CON Ahtna 001
28,gam Cas,CON Ahtna 001
29,15 Lyn,CON Ahtna 001
30,omi UMa,CON Ahtna 001
31,h UMa,CON Ahtna 001
32,36 UMa,CON Ahtna 001
33,tet UMa,CON Ahtna 001
34,iot UMa,CON Ahtna 001
35,kap UMa,CON Ahtna 001
36,31 Lyn,CON Ahtna 001
37,kap Leo,CON Ahtna 001
38,lam Leo,CON Ahtna 001
39,alf Leo,CON Ahtna 001
40,omi Leo,CON Ahtna 001
41,bet Cnc,CON Ahtna 001
42,eps Hya,CON Ahtna 001
43,zet Hya,CON Ahtna 001
44,alf Cnc,CON Ahtna 001
45,31 Leo,CON Ahtna 001
46,rho Leo,CON Ahtna 001
47,sig Leo,CON Ahtna 001
48,bet Vir,CON Ahtna 001
49,mu. UMa,CON Ahtna 001
50,alf Lyn,CON Ahtna 001
51,alf Aur,CON Ahtna 001
52,bet Aur,CON Ahtna 001
53,bet Gem,CON Ahtna 001
54,alf Gem,CON Ahtna 001
55,eta Tau,CON Ahtna 001
56,bet Tau,CON Ahtna 001
57,iot Aur,CON Ahtna 001
58,27 Lyn,CON Ahtna 001
59,zet Ori,CON Ahtna 002
60,eps Ori,CON Ahtna 002
61,del Ori,CON Ahtna 002
62,eps Gru,CON Anuta 001
63,bet Gru,CON Anuta 001
64,del01 Gru,CON Anuta 001
65,lam Gru,CON Anuta 001
66,gam Gru,CON Anuta 001
67,del Ori,CON Anuta 002
68,eps Ori,CON Anuta 002
69,zet Ori,CON Anuta 002
