culture,subregion,place,latitude,longitude
Ahtna,Northern America,"Cantwell, Alaska",63.38616512,-148.9001631
Anuta,Melanesia,"Anuta, Solomon Islands",-11.60649757,169.8501633
Ava Guarani,South America,"1921 informants originally from SE Bolivia; interviewed in Ledesma and Orán, north-west Argentina, where indigenous tribes worked during the harvest",-16.2837065,-63.5493965
Banjara,S Asia,"Seven Bajara villages (south of Nagpur, India): Dapora, Phulumari, Katarwadi, Kasola, Chinchkhed, Palaitanda, Nagrala",21.02,79.1
Blackfoot,Northern America,Northern Great Plains of North America,45.31666667,-101.0166667
Bororo,South America,"Aldeia Indígena Garças, State of Mato Grosso, Brazil (the 2nd largest Bororo village, where most data came from)",-20.23783238,-56.37333184
Bugis,South-Eastern Asia,Southern Sulawesi,-4.33333,120.25
Dien,Western Europe,"Paris, France",48.85341,2.3488
Gond,S Asia,"15 Gond villages around the Nagpur region in the states of Maharashtra, Andhra Pradesh and Madhya Pradesh (India): Karambi, Nimni, Matharjun, Kesalapur, Kharmat, Wamanpalli, Khadaki, Yelodi, Zashinagar, Mohagaon, Kaweli, Chalisbodi, Kopariya, Sailakota, Lodha",21.45,79.35
Gwichin,Northern America,"Fort Yukon, Alaska",66.56699773,-145.2538323
Huave,Central America,"San Mateo del Mar, Oaxaca, Mexico",16.21054,-94.98218
IAU,,International Astronomical Union,,
Iroquois,Northern America,Iroquois Confederacy,40.74723,-87.8243
Java,South-eastern Asia,Java,-7.50166466,111.2578323
Kalina,South America,"Three Carib villages (Konomerume, Karawasinde, and Kubarimye) in Suriname",3.9232946,-56.0246345
Kiche,Central America,"Guatemala: Santa Lucía Utatlán, Momostenango, and others",14.77135,-91.267
Kolam,S Asia,"Ten Kolam villages (south of Nagpur, India): Dubaguda, Janguguda, Jamini (Duttaguda), Laxmipur, Sonapur, Landgi Pod, Chinchpod, Bhimnala, Raipur (Khadki), Kakban",20.87,78.95
Korku,S Asia,"12 Korku villages in Northern Maharashtra, about 200 km north of Amravati: Zingapur, Rani Tamboli, Kawadaziri, Makhala, Raipur, Borata Kheda, Bela, Jamunala, Baghalinga, Gaulkheda Bazar, Hatida, Gadgabhandum",22.73513,77.75
Koyukon,Northern America,"Huslia, Hughes, and Allakaket, Alaska",65.70116386,-156.3856651
Lower Tanana,Northern America,"Minto, Alaska",65.157885,−149.369916
Madura,South-eastern Asia,"Madura Island, off the northeastern coast of Java, Indonesia",-7,113.333332
Malay,South-eastern Asia,"Kedah, Malaysia",6,100.66667
Mandar,South-Eastern Asia,Western Sulawesi,-2.5,119.3333
Maricopa,Northern America,South-central Arizona,32.9,-111.7
Mikmaq,Northern America,Nova Scotia,45.2166658,-62.6999972
Mocovi,South America,"communities centered around Colonia Cacique Catán, and other communities in the region such as Colonia Aborigen Chaco and Colonia Aborigen El Pastoril (Chaco Province, Argentina)",18.583,-95.883
Nicobars,S Asia,"9 villages on Nicobar Islands: Camorta Island (village: Munak), Nancowry Island (Kakana, Pilpillow), Chowra Island (Taeela), Teressa Island (Bengali, Kalasi, Minyuk, Luxi, Enam)",7.083333,93.7999968
Pardhi,S Asia,"14 Pardhi villages in Central India, near the city of Amravati: Saur, Hartala, Hiwara BK, Wadura Beda, Daryapur, Darapur, Shinganapur, Khairi Donoda, Mangarul Chavhala Beda, Mukinpur Beda, Ajanti Beda, Zombadi Beda, Jagatpur Beda, Wadgaon",21.08,77.62
Pawnee,Northern America,Nebraska,41.50082,-99.680905
Romania,Eastern Europe,Villages throughout Romania,45.9442858,25.0094303
Ruelle,Western Europe,"Paris, France",48.85341,2.3488
Sahtuotine,Northern America,"Délı̨nę, Northwest Territories, Canada",65.20666584,-123.4351649
Tewa,Northern America,"Tewa-speaking Pueblos in New Mexico: San Ildefonso, Isleta, Jemez, Cochiti, Taos, Nambe",34.25416565,-106.8899964
Thai,South-eastern Asia,,13.03887,101.490104
Toba,South America,"1921 informants originally from along the Pilcomayo river and eastern Chaco province, around Resistencia; some interviewed in Ledesma, Jujuy province, Argentina, where indigenous tribes worked during the harvest; 1924 informants from Napalpí, west of Resistencia",-27.2,-58.95
Tutchone,Northern America,"Southern Yukon Territory, Alaska",60.9,-135
Tzotzil,Central America,"Zinacantán, in the southern Mexican state of Chiapas",16.749997,-92.6999972
Wichi,South America,"informants (1921-) originally from Salta Province, Argentina; some interviewed in Ledesma or Orán, Argentina, where indigenous tribes worked during the harvest",-24.7859,-65.41166
Yellowknives,Northern America,"Dettah and Ndilǫ, Northwest Territories, Canada",62.411111,-114.308333
Zuni,Northern America,on the Zuni river on the Colorado Plateau,34.645556,-109.674444
