ID,Label
eta UMa,1
zet01 UMa,2
eps UMa,3
del UMa,4
alf UMa,5
bet UMa,6
gam UMa,7
lam Dra,8
kap Dra,9
bet UMi,10
gam UMi,11
zet Dra,12
bet Dra,13
gam Dra,14
psi UMa,15
nu. UMa,16
ksi UMa,17
bet Leo,18
tet Leo,19
del Leo,20
eps Cas,21
V BE Cam,22
alf Cam,23
bet Cam,24
2 Lyn,25
del Aur,26
del Cas,27
gam Cas,28
15 Lyn,29
omi UMa,30
h UMa,31
36 UMa,32
tet UMa,33
iot UMa,34
kap UMa,35
31 Lyn,36
kap Leo,37
lam Leo,38
alf Leo,39
omi Leo,40
bet Cnc,41
eps Hya,42
zet Hya,43
alf Cnc,44
31 Leo,45
rho Leo,46
sig Leo,47
bet Vir,48
mu. UMa,49
alf Lyn,50
alf Aur,51
bet Aur,52
bet Gem,53
alf Gem,54
eta Tau,55
bet Tau,56
iot Aur,57
27 Lyn,58
zet Ori,59
eps Ori,60
del Ori,61
eps Gru,62
bet Gru,63
del01 Gru,64
lam Gru,65
gam Gru,66
alf CMi,67
alf CMa,68
alf Car,69
alf Pic,70
alf Tau,71
tet01 Tau,72
71 Tau,73
gam Tau,74
del Tau,75
del03 Tau,76
eps Tau,77
bet Ari,78
alf Ari,79
41 Ari,80
kap Peg,81
iot Peg,82
bet Peg,83
alf Peg,84
eps Del,85
bet Del,86
alf Del,87
gam02 Del,88
del Del,89
gam Aql,90
alf Aql,91
bet Aql,92
gam02 Sgr,93
lam Sgr,94
sig Sgr,95
pi. Sgr,96
HD 183275,97
eps Sgr,98
tau Sco,99
alf Sco,100
sig Sco,101
del Sco,102
bet01 Sco,103
rho Oph,104
pi. Sco,105
rho Sco,106
d Sco,107
alf Cen A,108
bet Cen,109
bet Cru,110
gam Cru,111
del Cru,112
alf01 Cru,113
tet CrB,114
bet CrB,115
alf CrB,116
gam CrB A,117
del CrB,118
eps CrB,119
iot CrB,120
pi. CrB,121
eps Sco,122
mu.01 Sco,123
zet02 Sco,124
eta Sco,125
tet Sco,126
iot01 Sco,127
G Sco,128
d Oph,129
HD 153613,130
kap Sco,131
lam Sco,132
ups Sco,133
del Sgr,134
phi Sgr,135
tau Sgr,136
zet Sgr,137
HD 172910,138
sig Cen,139
gam Cen,140
ksi02 Cen,141
eps Cen,142
g UMa,143
alf Her,144
gam Her,145
iot Her,146
pi. Her,147
eps Her,148
bet Her,149
phi Her,150
tau Her,151
sig Her,152
eta Her,153
zet Her,154
ksi Her,155
mu. Her,156
lam Her,157
del Her,158
111 Her,159
110 Her,160
109 Her,161
95 Her A,162
nu. Sco,163
eta Hya,164
sig Hya,165
del Hya,166
del Crv,167
gam Crv,168
eps Crv,169
alf Crv,170
bet Crv,171
bet Ori,172
tau Ori,173
bet Eri,174
ome Eri,175
psi Eri,176
lam Eri,177
tau Cen,178
del Cen,179
rho Cen,180
G Cen,181
e Cen,182
f Cen,183
eta Sgr,184
HD 200044,185
kap Del,186
alf Eri,187
bet Cet,188
gam Peg,189
alf And,190
kap02 CrA,191
lam CrA,192
eps CrA,193
gam CrA,194
alf CrA,195
bet CrA,196
del CrA,197
zet CrA,198
eta02 CrA,199
tet CrA,200
mu.01 Cru,201
alf Ara,202
gam Ori,203
kap Ori,204
bet Tri,205
alf Tri,206
gam Tri,207
ups Per,208
gam01 And,209
bet And,210
omi And,211
lam And,212
kap And,213
iot And,214
pi. And,215
nu. And,216
mu. And,217
del And,218
eps And,219
zet And,220
eta And,221
alf Ant,222
tet Aql,223
eta Aql,224
del Aql,225
zet Aql,226
eps Aql,227
iot Aql,228
lam Aql,229
kap Aql,230
eps Aqr,231
mu. Aqr,232
bet Aqr,233
omi Aqr,234
gam Aqr,235
alf Aqr,236
del Aqr,237
c02 Aqr,238
pi. Aqr,239
eta Aqr,240
zet01 Aqr,241
iot Aqr,242
tet Aqr,243
lam Aqr,244
ksi Aqr,245
bet Ara,246
gam Ara,247
del Ara,248
eta Ara,249
zet Ara,250
eps01 Ara,251
gam01 Ari,252
del Ari,253
tet Aur,254
eps Aur,255
eta Aur,256
zet Aur,257
psi05 Aur,258
kap Aur,259
63 Aur,260
alf Boo,261
eps Boo,262
del Boo,263
bet Boo,264
gam Boo,265
rho Boo,266
mu.01 Boo,267
lam Boo,268
tet Boo,269
kap02 Boo,270
iot Boo,271
zet Boo,272
ksi Boo,273
pi.01 Boo,274
eta Boo,275
tau Boo,276
ups Boo,277
sig Boo,278
bet Cae,279
alf Cae,280
HD  21291,281
HD  21389,282
HD  49878,283
bet01 Cap,284
alf02 Cap,285
gam Cap,286
del Cap,287
eps Cap,288
alf01 Cap,289
eps Car,290
bet Car,291
tet Car,292
iot Car,293
eta Car,294
p Car,295
ups Car A,296
phi Vel,297
nu. Pup,298
tau Pup,299
chi Car,300
gam02 Vel,301
omi Vel,302
del Vel,303
kap Vel,304
lam Vel,305
mu. Vel,306
r Vel,307
q Vel,308
psi Vel,309
zet Pup,310
q Pup,311
c Pup,312
rho Pup,313
j Pup,314
ksi Pup,315
k02 Pup,316
pi. Pup,317
16 Pup,318
HD  66141,319
9 Pup A,320
6 Pup,321
bet Cas,322
alf Cas,323
zet Cen,324
mu. Cen,325
nu. Cen,326
d Cen,327
tet Cen,328
iot Cen,329
lam Cen,330
n Cen,331
gam Cep,332
bet Cep,333
alf Cep,334
iot Cep,335
kap Cep,336
eta Cep,337
del Cep,338
zet Cep,339
eps Cep,340
tet Her,341
omi Her,342
nu. Her,343
del Cet,344
omi Cet,345
zet Cet,346
tet Cet,347
eta Cet,348
tau Cet,349
ups Cet,350
iot Cet,351
2 Cet,352
eps Cet,353
pi. Cet,354
sig Cet,355
rho Cet,356
gam Cet,357
mu. Cet,358
lam Cet,359
alf Cet,360
kap01 Cet,361
ksi02 Cet,362
nu. Cet,363
75 Cet,364
bet CMa,365
gam CMa,366
omi02 CMa,367
omi01 CMa,368
iot CMa,369
mu. CMa A,370
eps CMa,371
zet CMa,372
lam CMa,373
eta CMa,374
del CMa,375
sig CMa,376
nu.02 CMa,377
bet CMi,378
kap Cnc,379
del Cnc,380
gam Cnc,381
bet Col,382
eps Col,383
alf Col,384
gam Col,385
gam Com,386
14 Com,387
16 Com,388
17 Com,389
23 Com,390
13 Com,391
12 Com,392
7 Com,393
39 Com,394
alf Com,395
36 Com,396
bet Com,397
31 Com,398
37 Com,399
35 Com,400
11 Com,401
alf Crt,402
bet Crt,403
del Crt,404
eps Crt,405
tet Crt,406
eta Crt,407
zet Crt,408
gam Crt,409
nu. Hya,410
alf02 CVn,411
bet CVn,412
alf Cyg,413
gam Cyg,414
phi Cyg,415
bet Cyg A,416
mu. Cyg,417
zet Cyg,418
eps Cyg,419
del Cyg,420
tet Cyg,421
kap Cyg,422
omi02 Cyg,423
ksi Cyg,424
sig Cyg,425
nu. Cyg,426
ups Cyg,427
lam Cyg,428
rho Cyg,429
pi.02 Cyg,430
eta Cyg,431
39 Cyg,432
gam Dor,433
alf Dor,434
bet Dor,435
HD  81817,436
alf Dra,437
iot Dra,438
tet Dra,439
eta Dra,440
ome Dra,441
chi Dra,442
del Dra,443
pi. Dra,444
ksi Dra,445
nu.02 Dra,446
mu. Dra,447
15 Dra,448
i Dra,449
alf Equ,450
bet Equ,451
del Equ,452
gam Equ,453
nu. Eri,454
omi01 Eri,455
gam Eri,456
del Eri,457
eps Eri,458
zet Eri,459
rho03 Eri,460
eta Eri,461
l Eri,462
54 Eri,463
ups02 Eri,464
ups04 Eri,465
tau05 Eri,466
tau04 Eri,467
tau01 Eri,468
tau03 Eri,469
alf For,470
iot Eri,471
e Eri,472
tet01 Eri,473
kap Eri,474
phi Eri,475
chi Eri,476
mu. Eri,477
rho01 Eri,478
v Eri,479
d Eri,480
del Gem,481
zet Gem,482
gam Gem,483
nu. Gem,484
mu. Gem,485
eps Gem,486
